powerplant,state,latitude,longitude
Ihovbor Power Station,Edo , 6.406874, 5.682620
Calabar Power Station,Cross River State, 5.189082, 8.273692
Egbema Power Station,Imo State, 5.565607, 6.738329
Gbarain Power Station, Bayelsa State, 5.031078, 6.301565
Sapele Power Station, Delta State,  5.924496, 5.645589
Omoku Power Station, Rivers, 5.387612, 6.663920
Ikot Abasi Power Station,Akwa Ibom, 4.565826, 7.567102
Alaoji Power Station,Abia, 5.152909, 7.310762
Omotosho II Power Station,Ondo, 6.732685, 4.710233
Olorunsogo II Power Station,Ogun,  6.884722, 3.316201
Geregu II Power Station,Kogi, 7.473356, 6.654060 
